Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Digikey_URI,MPN,KiLib_Generator,Mouser_URI,Sim.Device,Sim.Type,Sim.Pins
1,"Unpolarized capacitor, small symbol",C_Small,C12 C13,33pF,C_Disc_D3.8mm_W2.6mm_P2.50mm,2, ,,,C315C330K2G5TA,https://www.digikey.co.uk/short/50mzfpf4,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C1 C2 C4 C5 C10 C14 C15,0.1uF,C_Disc_D3.8mm_W2.6mm_P2.50mm,7, ,,,K104K15X7RF53L2,https://www.digikey.co.uk/short/m41vt2zt,https://mou.sr/43YUXGF,,,
3,"Unpolarized capacitor, small symbol",C_Small,C8 C9,1uF,C_Radial_D5.0mm_H5.0mm_P2.00mm,2, ,,,105BPS100M,https://www.digikey.co.uk/short/v77dw2vb,,,,
4,"Unpolarized capacitor, small symbol",C_Small,C11,10uF,CP_Radial_D4.0mm_P2.00mm,1, ,,,ESS106M025AB2AA,https://www.digikey.co.uk/short/723948m3,,,,
5,"Polarized capacitor, small symbol",C_Polarized_Small,C6 C7,47uF,CP_Radial_D4.0mm_P2.00mm,2, ,,,ECE-A0JKA470,https://www.digikey.co.uk/short/9qrv3t9n,https://mou.sr/3R5E1vb,,,
6,"Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)",AudioJack3_SwitchTR,CON1,SJ1-3523N,Headphone_Jack_3.5mm_5_pin,1, ,,https://www.digikey.co.uk/short/5qzpw41n,SJ1-3523N,,,,,
7,"Generic connector, single row, 01x03, script generated",Conn_01x03_Socket,J1,Conn_01x03_Socket,PinSocket_1x03_P2.54mm_Vertical,1, ,,,,connector/pin_header_socket,,,,
8,"Generic connector, double row, 02x09, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x09_Odd_Even,J3 JP6,IO Header,PinHeader_2x09_P2.54mm_Vertical,2, ,,,,connector/pin_header_socket,,,,
9,"Generic connector, double row, 02x07, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x07_Odd_Even,JP8,Divider,PinHeader_2x07_P2.54mm_Vertical,1, ,,,,connector/pin_header_socket,,,,
10,"Jumper, 2-pole, closed/bridged",Jumper_2_Bridged,JP7,YM 1/2 CLK,PinHeader_1x02_P2.54mm_Vertical,1, ,,,,connector/pin_header_socket,,,,
11,"Generic connector, single row, 01x39, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x39,P1,RC2014 BUS,PinHeader_1x39_P2.54mm_Vertical,1, ,,,,,,,,
12,Resistor,R,R1 R2,68R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2, ,,,MFR-25FTE52-68R,https://www.digikey.co.uk/short/305qt5br,,,,
13,"Resistor, small symbol",R_Small,R8 R9 R10 R11 R12 R13,8k2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6, ,,,MFR-25FTE52-8K2,https://www.digikey.co.uk/short/8r4tbmqt,,,,
14,Resistor,R,R3,22k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1, ,,,MFR-25FTE52-22K,https://www.digikey.co.uk/short/bzv9d850,,,,
15,"Resistor, small symbol",R_Small,R14 R15 R16 R17 R18 R19 R22,33k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,7, ,,,MFR-25FTE52-33K,https://www.digikey.co.uk/short/5h79b53t,,,,
